Masculin;Étudiant;30  - 39;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Obtenir la météo;Recherche itinéraire (google maps);Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche de poi (Point d'intérêt);Location de voiture/réservation de véhicule;Prendre des photos;Localiser la destination de sport;Réserver le petit-déjeuner;Laissez des avis en ligne sur l'endroit;Regardez vers votre prochain voyage;Écrivez sur vos moments préférés;Vérifier les relevés bancaires et de carte de crédit
Masculin;Étudiant;20 - 29;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Recherche itinéraire (google maps);Obtenir la météo;Recherche de poi (Point d'intérêt);Location de voiture/réservation de véhicule;Réserver le petit-déjeuner;Localiser la destination de sport;Prendre des photos;Vérifier les relevés bancaires et de carte de crédit;Laissez des avis en ligne sur l'endroit;Écrivez sur vos moments préférés;Regardez vers votre prochain voyage
Masculin;Étudiant;20 - 29;Recherche itinéraire (google maps);Informations sur la sécurité, les lois et règlements du pays;Obtenir la météo;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Réserver le petit-déjeuner;Localiser la destination de sport;Recherche de poi (Point d'intérêt);Prendre des photos;Location de voiture/réservation de véhicule;Vérifier les relevés bancaires et de carte de crédit;Laissez des avis en ligne sur l'endroit;Écrivez sur vos moments préférés;Regardez vers votre prochain voyage
Masculin;Étudiant;20 - 29;Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Obtenir la météo;Recherche de poi (Point d'intérêt);Réserver le petit-déjeuner;Localiser la destination de sport;Prendre des photos;Location de voiture/réservation de véhicule;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
Féminin;Employé;Plus que 50;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Obtenir la météo;Recherche de poi (Point d'intérêt);Réserver le petit-déjeuner;Localiser la destination de sport;Prendre des photos;Location de voiture/réservation de véhicule;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
Masculin;Étudiant;20 - 29;Obtenir la météo;Recherche itinéraire (google maps);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Location de voiture/réservation de véhicule;Recherche de poi (Point d'intérêt);Prendre des photos;Réserver le petit-déjeuner;Localiser la destination de sport;Écrire sur vos moments préférés;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit
Masculin;Étudiant;20 - 29;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Obtenir la météo;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Location de voiture/réservation de véhicule;Prendre des photos;Réserver le petit-déjeuner;Localiser la destination de sport;Recherche de poi (Point d'intérêt);Vérifier les relevés bancaires et la carte de crédit;Laisser des avis en ligne sur l'endroit;Écrire sur vos moments préférés;Regarder vers votre prochain voyage
Féminin;Étudiant;20 - 29;Obtenir la météo;Recherche itinéraire (google maps);Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Prendre des photos;Location de voiture/réservation de véhicule;Localiser la destination de sport;Réserver le petit-déjeuner;Recherche de poi (Point d'intérêt);Écrire sur vos moments préférés;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit
Masculin;Étudiant;20 - 29;Obtenir la météo;Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Réserver le petit-déjeuner;Location de voiture/réservation de véhicule;Recherche de poi (Point d'intérêt);Localiser la destination de sport;Prendre des photos;Regarder vers votre prochain voyage;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Vérifier les relevés bancaires et la carte de crédit
Masculin;Étudiant;20 - 29;Informations sur la sécurité, les lois et règlements du pays;Recherche itinéraire (google maps);Obtenir la météo;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Localiser la destination de sport;Réserver le petit-déjeuner;Location de voiture/réservation de véhicule;Recherche de poi (Point d'intérêt);Prendre des photos;Vérifier les relevés bancaires et la carte de crédit;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage;Écrire sur vos moments préférés
Masculin;Étudiant;20 - 29;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Recherche itinéraire (google maps);Obtenir la météo;Location de voiture/réservation de véhicule;Réserver le petit-déjeuner;Localiser la destination de sport;Prendre des photos;Recherche de poi (Point d'intérêt);Écrire sur vos moments préférés;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit
Féminin;Étudiant;20 - 29;Recherche itinéraire (google maps);Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Obtenir la météo;Recherche de poi (Point d'intérêt);Location de voiture/réservation de véhicule;Réserver le petit-déjeuner;Prendre des photos;Localiser la destination de sport;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
Masculin;Étudiant;20 - 29;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Obtenir la météo;Location de voiture/réservation de véhicule;Réserver le petit-déjeuner;Localiser la destination de sport;Recherche de poi (Point d'intérêt);Prendre des photos;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit
Masculin;Employé;30  - 39;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Obtenir la météo;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Informations sur la sécurité, les lois et règlements du pays;Recherche de poi (Point d'intérêt);Prendre des photos;Localiser la destination de sport;Réserver le petit-déjeuner;Location de voiture/réservation de véhicule;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit
Féminin;Étudiant;20 - 29;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Obtenir la météo;Recherche de poi (Point d'intérêt);Prendre des photos;Location de voiture/réservation de véhicule;Réserver le petit-déjeuner;Localiser la destination de sport;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit;Écrire sur vos moments préférés;Vérifier les relevés bancaires et la carte de crédit
Masculin;Étudiant;20 - 29;Recherche itinéraire (google maps);Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Obtenir la météo;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche de poi (Point d'intérêt);Réserver le petit-déjeuner;Localiser la destination de sport;Prendre des photos;Location de voiture/réservation de véhicule;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
Masculin;Étudiant;20 - 29;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Obtenir la météo;Location de voiture/réservation de véhicule;Réserver le petit-déjeuner;Recherche de poi (Point d'intérêt);Localiser la destination de sport;Prendre des photos;Vérifier les relevés bancaires et la carte de crédit;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage;Écrire sur vos moments préférés
Masculin;Employé;30  - 39;Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Obtenir la météo;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Recherche de poi (Point d'intérêt);Prendre des photos;Réserver le petit-déjeuner;Localiser la destination de sport;Location de voiture/réservation de véhicule;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage;Vérifier les relevés bancaires et la carte de crédit
Masculin;Étudiant;20 - 29;Informations sur la sécurité, les lois et règlements du pays;Obtenir la météo;Recherche itinéraire (google maps);Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche de poi (Point d'intérêt);Location de voiture/réservation de véhicule;Prendre des photos;Réserver le petit-déjeuner;Localiser la destination de sport;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
Masculin;Employé;30  - 39;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Obtenir la météo;Réserver le petit-déjeuner;Localiser la destination de sport;Recherche de poi (Point d'intérêt);Prendre des photos;Location de voiture/réservation de véhicule;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit;Écrire sur vos moments préférés
Masculin;Employé;20 - 29;Obtenir la météo;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Location de voiture/réservation de véhicule;Recherche de poi (Point d'intérêt);Réserver le petit-déjeuner;Prendre des photos;Localiser la destination de sport;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit
Féminin;Étudiant;Moins que 20;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Recherche itinéraire (google maps);Obtenir la météo;Réserver le petit-déjeuner;Recherche de poi (Point d'intérêt);Location de voiture/réservation de véhicule;Localiser la destination de sport;Prendre des photos;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
Féminin;Étudiant;Moins que 20;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Obtenir la météo;Recherche itinéraire (google maps);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Location de voiture/réservation de véhicule;Recherche de poi (Point d'intérêt);Prendre des photos;Réserver le petit-déjeuner;Localiser la destination de sport;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
Masculin;Étudiant;20 - 29;Obtenir la météo;Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Location de voiture/réservation de véhicule;Prendre des photos;Localiser la destination de sport;Réserver le petit-déjeuner;Recherche de poi (Point d'intérêt);Laisser des avis en ligne sur l'endroit;Écrire sur vos moments préférés;Regarder vers votre prochain voyage;Vérifier les relevés bancaires et la carte de crédit
Masculin;Étudiant;20 - 29;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Obtenir la météo;Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Réserver le petit-déjeuner;Prendre des photos;Location de voiture/réservation de véhicule;Localiser la destination de sport;Recherche de poi (Point d'intérêt);Laisser des avis en ligne sur l'endroit;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Regarder vers votre prochain voyage
Féminin;Étudiant;20 - 29;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Obtenir la météo;Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Réserver le petit-déjeuner;Location de voiture/réservation de véhicule;Recherche de poi (Point d'intérêt);Prendre des photos;Localiser la destination de sport;Écrire sur vos moments préférés;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit
Féminin;Étudiant;20 - 29;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Informations sur la sécurité, les lois et règlements du pays;Obtenir la météo;Recherche itinéraire (google maps);Prendre des photos;Localiser la destination de sport;Recherche de poi (Point d'intérêt);Réserver le petit-déjeuner;Location de voiture/réservation de véhicule;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit;Écrire sur vos moments préférés
Féminin;Étudiant;20 - 29;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Obtenir la météo;Prendre des photos;Réserver le petit-déjeuner;Localiser la destination de sport;Recherche de poi (Point d'intérêt);Location de voiture/réservation de véhicule;Écrire sur vos moments préférés;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit;Vérifier les relevés bancaires et la carte de crédit
Féminin;Étudiant;20 - 29;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Informations sur la sécurité, les lois et règlements du pays;Obtenir la météo;Recherche de poi (Point d'intérêt);Réserver le petit-déjeuner;Prendre des photos;Localiser la destination de sport;Location de voiture/réservation de véhicule;Laisser des avis en ligne sur l'endroit;Écrire sur vos moments préférés;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage
Féminin;Étudiant;20 - 29;Obtenir la météo;Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Recherche itinéraire (google maps);Informations sur la sécurité, les lois et règlements du pays;Recherche de poi (Point d'intérêt);Location de voiture/réservation de véhicule;Réserver le petit-déjeuner;Prendre des photos;Localiser la destination de sport;Vérifier les relevés bancaires et la carte de crédit;Regarder vers votre prochain voyage;Laisser des avis en ligne sur l'endroit;Écrire sur vos moments préférés
Féminin;Étudiant;20 - 29;Informations sur la sécurité, les lois et règlements du pays;Vérification des coûts pour les destinations envisagées (taxis, trains, restaurants...);Discuter dans un groupe de voyages/visiter un site de conseils de voyage;Recherche itinéraire (google maps);Obtenir la météo;Prendre des photos;Recherche de poi (Point d'intérêt);Location de voiture/réservation de véhicule;Localiser la destination de sport;Réserver le petit-déjeuner;Vérifier les relevés bancaires et la carte de crédit;Écrire sur vos moments préférés;Laisser des avis en ligne sur l'endroit;Regarder vers votre prochain voyage
